Closed Positions
ROLLOVER IRA (221807343)
From: 01/01/2020
To: 07/27/2020
All Symbols
07/27/2020 02:35:24 PM ET

Total G/L: 14855.72
Short-Term G/L: 
Long-Term G/L: 14855.72

"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"01/17/2020","01/21/2020","100","298.12","301.253","29,812.00","30,125.37","--","313.37"
"01/13/2020","01/15/2020","200","285.97","296.693","57,194.00","59,338.77","--","2,144.77"
"WFC","WELLS FARGO CO NEW COM","620","26.328","27.289","16323.67","16919.6","","595.93"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/14/2020","07/14/2020","200","23.895","24.229","4,779.00","4,845.89","--","66.89"
"05/11/2020","05/27/2020","50","24.717","27.719","1,235.86","1,385.96","--","150.10"
"05/05/2020","05/27/2020","100","26.60","27.684","2,660.00","2,768.43","--","108.43"
"05/04/2020","05/27/2020","50","27.216","27.684","1,360.81","1,384.22","--","23.41"
"05/01/2020","05/27/2020","50","27.58","27.684","1,379.00","1,384.22","--","5.22"
"04/28/2020","04/29/2020","100","29.03","30.299","2,903.00","3,029.92","--","126.92"
"04/16/2020","04/29/2020","20","27.00","30.299","540.00","605.99","--","65.99"
"04/15/2020","04/29/2020","20","28.30","30.299","566.00","605.99","--","39.99"
"04/14/2020","04/29/2020","30","30.00","30.299","900.00","908.98","--","8.98"
"WMT","WALMART INC COM","245","126.585","128.275","31013.5","31427.38","","413.88"
"ASSOCIATED LOTS","","","","","","","",""
"Date Acquired","Date Sold","Quantity","Basis/Share","Proceeds/Share","Basis","Proceeds","Short-Term G/L","Long-Term G/L"
"07/24/2020","07/24/2020","100","130.90","131.137","13,090.00","13,113.71","--","23.71"
"07/24/2020","07/24/2020","50","131.00","131.137","6,550.00","6,556.85","--","6.85"
"07/24/2020","07/24/2020","21","131.00","131.137","2,751.00","2,753.88","--","2.88"
"07/24/2020","07/24/2020","4","131.00","131.135","524.00","524.54","--","0.54"
"07/06/2020","07/07/2020","30","118.55","123.737","3,556.50","3,712.12","--","155.62"
"07/06/2020","07/07/2020","20","118.80","123.737","2,376.00","2,474.74","--","98.74"
"03/26/2020","04/01/2020","20","108.30","114.577","2,166.00","2,291.54","--","125.54"
"TOTALS","","","","","641522.24","656377.96","","14855.72"
"","","","","","","","",""
